timesteps,mean_reward,mean_fuel_mL,mean_travel_time_s,mean_stop_steps,mean_max_abs_jerk
10000,-175.8318224887471,70.47123067028038,129.4375,17.375,7.338951408863068
20000,-189.19804805953754,88.76181815299357,113.6875,7.0,9.985698207513948
30000,-170.43317687387753,83.88991132300701,114.0,7.25,9.159770637750626
40000,-92.61452309850574,87.41324036500555,112.1875,0.875,7.900476738810539
50000,-77.87300729699564,71.4371043978559,99.0,2.5,6.159884493595681
60000,-122.58683888465748,85.3870041330728,112.625,4.875,8.268760217651973
70000,-106.64715244156832,74.33048200528549,113.125,7.125,7.520033910870552
80000,-60.5653886369837,71.18982651385465,103.3125,3.25,5.802641956219354
90000,-141.69274600374047,89.14036746131328,113.875,11.25,8.283386969048655
100000,-79.54337926843436,79.92777502705556,100.1875,3.375,7.843552619218826
110000,-92.23819751149858,76.60580306177945,110.5,5.875,8.011683263589978
120000,-51.2245370038363,74.95152645487713,95.8125,4.25,6.295827657756324
130000,-89.76401701745999,81.15920380070042,105.75,5.75,6.512997180610485
140000,-62.69798078936583,78.6871558074931,106.25,11.125,7.200114966512456
150000,-56.60620713255412,74.70732559321506,95.5,1.875,6.5434620706830104
160000,-45.78432181365497,80.4963349906769,93.625,1.375,7.589917712537408
170000,-81.05022774881945,81.81746684783269,117.375,11.0,7.831432927528239
180000,-50.60141256303905,81.28537626481508,102.0625,3.5,7.686752728725612
190000,-95.67631809920567,84.27337360200296,117.5625,3.625,8.82686839798453
200000,-61.92063461240832,71.29812910406366,103.0,5.75,5.310993074872417
210000,-62.420405203965856,78.88369946002533,105.75,2.75,6.980314339022966
220000,-56.316095667061745,76.91538714155027,107.9375,2.5,6.93962886929512
230000,-114.55766802828293,78.49751851945574,103.8125,3.25,7.286690875887871
240000,-54.874403817986604,73.70428888181067,105.6875,3.625,6.098911260371692
250000,-57.81931782659376,78.30520370902798,115.6875,1.5,7.170544520020485
260000,-71.88618700187362,77.13469580176691,111.8125,3.625,6.56674639893725
270000,-60.34838286822196,74.69252167371178,106.375,0.875,6.431599110364914
280000,7.545947920498293,69.19353476866948,91.4375,2.75,4.797275089119548
290000,-47.85232112623362,74.92856273564834,109.5625,1.625,6.6578748554709275
300000,-81.91029954071564,79.55499398409184,108.8125,1.125,8.141442224383354
310000,-12.700562240510408,74.79004976937489,99.1875,1.375,5.124905280447228
320000,-73.4330001995304,78.80747247952107,109.5,9.25,7.448332756757736
330000,-56.847138029988855,71.12904214763202,101.25,2.75,6.008536398410797
340000,-24.74350959790172,73.74546818061353,99.9375,1.75,6.124902459641903
350000,-32.07066128784663,73.32952943179149,102.6875,0.5,6.027421459555626
360000,-79.04608986295716,80.95640765137055,119.625,11.75,7.680248838187662
370000,-36.1949721418257,73.96771206912922,107.25,1.5,5.442642951906079
380000,-87.10833843001456,71.78770528975397,107.0625,1.875,7.107572332024574
390000,-51.09230383906106,76.92296569942202,114.75,3.875,5.874104323275111
400000,-117.1357747521215,81.09444772976494,116.4375,10.0,8.086574614048004
410000,-64.35239944668137,77.27394616781771,114.1875,2.375,6.829528495669365
420000,-81.77701163216625,77.80321161070765,112.1875,2.0,7.084670200943947
430000,-76.55834347982818,82.36776521045763,121.3125,10.625,6.461688011077804
440000,-86.23219269384663,76.59649630700895,106.6875,4.375,7.068777198282387
450000,-29.912744023735286,75.76273399628934,105.0625,1.375,7.154405747840304
460000,-61.20976479638557,75.80161218772865,114.75,4.375,6.4460771376656245
470000,-81.56996565056761,81.67897517811687,114.625,5.625,6.668881982564926
480000,-29.563729054082614,63.54892540381259,94.75,6.625,4.576693624588012
490000,-45.217769824232164,81.19494479822572,112.0625,2.0,5.3440170326676535
500000,-25.1693329095051,76.40796657976676,109.125,5.0,5.506616994738579
510000,-15.123776659795112,65.50591407666909,96.3125,4.0,4.634323531348981
520000,-68.30525805285788,74.36050594171306,108.625,5.375,6.445921242237091
530000,-74.85794913316568,80.4141396177712,112.5625,1.75,6.407132104039192
540000,-75.81994526713515,82.69808571807538,118.125,6.125,5.9215006197772295
550000,1.503390985642909,69.51968681127046,94.5625,0.375,5.179798748154387
560000,-32.145872630637314,72.54324065644664,100.9375,3.0,6.1190235465765
570000,-92.04701100540206,81.79119031087701,119.0625,2.875,6.17179035322761
580000,-5.716787417597516,66.75907311106224,89.4375,1.0,5.084405113959443
590000,-40.71328220223222,78.49664911837957,108.3125,0.75,5.801191813615232
600000,-88.18482189663337,83.3571316119582,117.125,1.5,7.1283040313212584
610000,-46.172287574012444,77.21901436350849,109.6875,3.875,6.625461056828499
620000,-49.36041925186146,76.56192142332863,109.625,2.875,5.000512694519566
630000,-75.9581510959506,78.96433851373617,113.875,5.5,7.093106064872772
640000,-61.75518486530564,77.9548244067064,113.9375,4.875,6.029233339985483
650000,2.332631359633524,63.07181896439296,83.0625,0.0,4.895094853315134
660000,-12.965529498602336,72.03762453905534,97.6875,1.0,6.155208301291929
670000,-54.8125828932707,80.7590888569665,117.125,5.5,6.125550909207095
680000,-36.61609536148899,69.60010125665899,99.625,0.875,4.3078338503837585
690000,-29.39210412101602,72.54031691403111,103.875,0.75,7.154048755764961
700000,-56.50169212530818,81.01110395731287,112.5625,2.875,5.336973220632839
710000,-53.48219551877446,80.04610342897882,117.5,6.0,6.41682940988364
720000,-45.06031017270925,73.01560341483061,106.1875,2.25,4.338941347988973
730000,-13.221648637017097,64.32403324583021,90.8125,2.25,4.546181790192896
740000,-88.72592480115054,78.8695658124724,113.8125,4.0,7.896591931581497
750000,-12.391628208741167,64.94390291714586,98.3125,1.0,4.413263875837341
760000,-81.37018510643975,76.97294414865891,109.375,2.875,6.617727771401405
770000,-111.4953414409465,86.02043013883284,126.125,7.875,8.282478705048561
780000,-58.764705236919326,79.92733991405314,115.1875,5.375,5.281699157251158
790000,-28.942172179096815,79.79909372239412,110.5,2.0,5.837782107231638
800000,-17.808694968059626,71.38493620806764,108.625,1.5,5.524420382398464
810000,-52.47115267440677,69.64962295171054,100.875,3.75,5.332212194800377
820000,-76.4641225652731,70.22183012932184,101.4375,10.0,6.578247889876366
830000,-56.65759824171619,79.02202341570302,105.0,1.125,6.593163750383592
840000,-73.3541448781798,87.35539981691043,130.1875,3.875,5.638770153174291
850000,-82.38557874212165,80.78781803058162,116.0,5.625,6.031185254454613
860000,-65.21101507957496,80.13452085016247,119.1875,0.75,5.416926556736688
870000,-34.870621834535996,76.30537493415508,108.5625,3.0,5.546775732866594
880000,-63.79948577124742,78.67016864416796,100.375,0.625,7.33199136664363
890000,-68.04455605632029,83.62905506527169,115.6875,3.25,6.033449929183421
900000,-29.858624208493893,75.7196856022765,104.0625,0.25,6.1592293828725815
910000,-29.98999121927136,70.61248886283155,95.0625,2.0,4.836178261372485
920000,-59.49361886314,79.13344371627906,113.125,5.5,6.3740362375974655
930000,-57.192030113694386,80.37318768832515,116.5625,1.5,6.430083342366114
940000,-20.15680389809131,68.2389840459097,102.25,1.0,3.845501199364662
950000,-85.06552262037985,78.55400175837929,112.0,0.625,6.87175527215004
960000,-0.5989416252195952,65.99139592711782,104.9375,2.125,4.326425135135651
970000,-24.026935097197565,73.08617703543527,102.25,0.625,4.8791839480400085
980000,-73.30412921447714,75.93878067152178,110.9375,2.625,6.843070418637099
990000,-47.56485932977375,69.09823667410578,96.125,2.625,4.8700661534563
1000000,-6.6903396396301105,65.84872590279537,92.4375,2.125,4.10821773287784
