label,seed,arrived,red_run,collision,travel_time_s,total_fuel_mL,stop_steps,max_abs_jerk,guard_rate,fuel_delta_pct
400k,500,True,False,False,119.0,79.54102508066487,7,8.05461859703064,0.01680672268907563,-12.560969568754397
400k,501,True,False,False,88.0,79.33053057005696,5,3.39494526386261,0.017045454545454544,9.31229374607331
400k,502,True,False,False,62.0,63.2301814544911,0,1.4014736398336822,0.0,-8.751242283465228
400k,503,True,False,False,103.5,82.80162474462962,2,5.990493001494734,0.00966183574879227,-1.6660190507427497
400k,504,True,False,False,87.5,67.90301293600302,0,2.7509865760803223,0.0,-10.311943229986822
400k,505,True,False,False,93.5,75.77555390233647,6,2.418355941772461,0.0,4.111479129386461
400k,506,True,False,False,91.0,73.0920154647259,2,6.994075417518616,0.01098901098901099,-7.131888669848887
400k,507,True,False,False,120.5,93.99535025751644,19,8.070281386375427,0.024896265560165973,3.3489094975739286
400k,508,True,False,False,67.5,54.51499643411741,0,0.8385515026138535,0.0,-28.232471176193545
400k,509,True,False,False,106.0,70.62477695689398,2,7.581591948703107,0.014150943396226415,-13.776279229714952
700k,500,True,False,False,119.5,84.60691737521599,0,6.7922046184539795,0.008368200836820083,-6.992060819395777
700k,501,True,False,False,90.5,79.24590934676797,7,3.8528594970703125,0.016574585635359115,9.195691223049094
700k,502,True,False,False,59.5,61.35861712617604,0,1.2465633169534271,0.0,-11.452134737304613
700k,503,True,False,False,104.0,79.12687078778812,0,6.829328298568726,0.004807692307692308,-6.030102324467357
700k,504,True,False,False,87.0,78.01293670409727,0,2.3995280265808105,0.0,3.041505720915001
700k,505,True,False,False,92.0,75.45263894956523,4,5.804004192352295,0.016304347826086956,3.66781159236865
700k,506,True,False,False,91.5,68.85250123074778,0,5.637993335723877,0.00546448087431694,-12.518464445103678
700k,507,True,False,False,120.5,81.65983821001556,11,7.368939638137817,0.02074688796680498,-10.214120106663911
700k,508,True,False,False,72.0,43.7142539785952,0,1.2241390943527222,0.0,-42.45135856861917
700k,509,True,False,False,110.5,72.58872341209086,0,5.136835813522339,0.004524886877828055,-11.378554549266859
