scenario_seed,guarded_fuel_mL,unguarded_fuel_mL,fuel_ratio,guarded_guard_a1,guarded_guard_a4,guarded_guard_rate,guarded_jerk,unguarded_jerk
500,94.34389713838668,90.96741430957307,1.0371174981111702,0,15,0.0635593220338983,10.613481521606445,2.988046884536743
501,73.20227318358677,72.57237759033545,1.0086795501837769,3,3,0.03314917127071823,10.317098617553711,3.0664470195770264
502,69.29429291620202,69.29429291620202,1.0,0,0,0.0,3.241112470626831,3.241112470626831
503,86.74540399723229,84.20448754877248,1.0301755467247287,0,13,0.06372549019607843,10.6404447555542,3.262155055999756
504,76.96755817166375,75.71020644379276,1.0166074270158603,0,3,0.017341040462427744,10.084283828735352,3.549053907394409
505,73.37818887366862,72.78309225456782,1.008176303048782,0,4,0.02197802197802198,7.9894280433654785,4.231655120849609
506,95.21093866562993,78.70518137800808,1.2097162727870152,2,2,0.019704433497536946,10.996992800770386,3.038205146789551
507,93.30223975901038,90.94953271831372,1.0258682696917574,2,10,0.04979253112033195,10.710271835327148,3.4333009719848633
508,75.96053163256458,75.96053163256458,1.0,0,0,0.0,3.7048137187957764,3.7048137187957764
509,84.45837498680223,81.90875588058957,1.031127552589489,0,12,0.05687203791469194,10.59371280670166,3.2385494709014893
510,81.04613157225499,81.39530646385863,0.9957101348127649,0,8,0.03587443946188341,9.046494483947754,3.045435667037964
511,99.05931715790962,98.54906427884025,1.0051776532106447,0,7,0.03167420814479638,10.601520538330078,6.546972274780273
512,98.36038273729909,95.65045662684123,1.028331554349291,0,16,0.07048458149779736,10.64072036743164,3.5557456016540527
513,79.42614052197521,77.49295121397996,1.024946647117067,0,7,0.030973451327433628,10.563798904418945,3.1400349140167236
514,83.62091677140978,81.74100043481485,1.0229984503076164,1,10,0.04954954954954955,10.489872932434082,3.083976984024048
515,83.31221174066182,83.31221174066182,1.0,0,0,0.0,3.573725461959839,3.573725461959839
516,99.25097450525624,92.480919351934,1.0732048859458128,0,20,0.06896551724137931,10.641470909118652,3.0520143508911133
517,95.85733345588706,91.37942041319567,1.0490035176678003,0,19,0.06810035842293907,10.6427640914917,8.0
518,76.84771541416742,73.9057811312564,1.039806551502191,0,8,0.042328042328042326,10.717799186706543,3.5119006633758545
519,115.80305260455931,107.75969951295309,1.074641569417511,0,20,0.06756756756756757,10.643450736999512,3.1049656867980957
520,84.35130268041414,82.2382659011646,1.0256940823848235,1,4,0.023923444976076555,10.996490478515625,3.0376529693603516
521,79.66722925140175,78.41859060809252,1.0159227376267124,1,5,0.026785714285714284,10.47823715209961,8.0
522,96.71112975148665,96.71112975148665,1.0,0,0,0.0,6.287563065517531,6.287563065517531
523,111.1021746473412,112.31381088354333,0.9892120459036114,3,9,0.045112781954887216,10.895054817199707,3.0046074390411377
524,92.03171335336519,94.35146353424858,0.9754137339900261,2,4,0.026905829596412557,10.996408462524414,3.4260752201080322
525,115.47092734805273,105.73718967900143,1.092055952107306,0,40,0.12539184952978055,10.70923137664795,8.0
526,98.40874808325053,87.76093242065646,1.1213275129251916,2,6,0.03389830508474576,10.987711906433105,4.826921463012695
527,77.65453416464698,75.65182061599256,1.0264727739841206,2,2,0.0196078431372549,10.62097454071045,3.436434268951416
528,74.83860987667191,74.56311430289031,1.0036947970368093,3,8,0.046413502109704644,8.0,8.0
529,69.1645234282714,69.1645234282714,1.0,0,0,0.0,3.235732078552246,3.235732078552246
